Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
When Generative AI Prompts Bite Back: Investigating Different Types of Prompt Injection Attacks on Large Language Models (LLMs) and Their Prevention Methods,"Contributions Presented at the International Conference on Computing, Communication, Cybersecurity & AI, July 10–11, 2025, Birmingham, UK",,,,10.1007/978-3-032-16791-0_30,Dishita NaikIshita NaikNitin Naik,2026,https://link.springer.com/chapter/10.1007/978-3-032-16791-0_30,Conference paper
Exploiting large language models in peer review: indirect prompt injection attacks and integrity probes,Scientometrics,,,,10.1007/s11192-026-05695-x,Federico TorrielliStefano LocciAmon RappLuigi Di Caro,2026,https://link.springer.com/article/10.1007/s11192-026-05695-x,Article
Evaluation of&#xa0;Adversarial Input Attacks in&#xa0;Retrieval-Augmented Generation Using Large Language Models,Advances in Information and Computer Security,,,,10.1007/978-981-95-4674-9_18,Kento HasegawaSeira HidanoKazuhide Fukushima,2026,https://link.springer.com/chapter/10.1007/978-981-95-4674-9_18,Conference paper
Indirect prompt injection in large language models,Neural Computing and Applications,,,,10.1007/s00521-026-12266-x,Alfredo MilaniValentina FranzoniEmanuele Florindi,2026,https://link.springer.com/article/10.1007/s00521-026-12266-x,Article
Comparative evaluation of machine learning methods for protecting LLMs from prompt injection attacks,International Journal of Information Security,,,,10.1007/s10207-026-01264-8,Nazarii DzhaliukDmytro SabodashkoVolodymyr KhomaYuriy KhomaViktor KolchenkoMichal Podpora,2026,https://link.springer.com/article/10.1007/s10207-026-01264-8,Article
When Generative AI Gets Hacked: A Comprehensive Classification of&#xa0;Cyberattacks on&#xa0;Large Language Models (LLMs) and&#xa0;Their Mitigation Techniques,"Contributions Presented at the International Conference on Computing, Communication, Cybersecurity & AI, July 10–11, 2025, Birmingham, UK",,,,10.1007/978-3-032-16791-0_5,Dishita NaikIshita NaikNitin Naik,2026,https://link.springer.com/chapter/10.1007/978-3-032-16791-0_5,Conference paper
Linguistic profile of LLMs: an overview of linguistic performance and jailbreak vulnerability,Journal of Cultural Cognitive Science,,,,10.1007/s41809-025-00192-8,Esra AbdelzaherEshrag Rafaee,2026,https://link.springer.com/article/10.1007/s41809-025-00192-8,Article
"Threat Landscape of&#xa0;Adversarial Attacks on&#xa0;Generative AI and&#xa0;Large Language Models (LLMs): Exploring Different Types of&#xa0;Adversarial Attacks, Associated Risks, and&#xa0;Mitigation Strategies","Contributions Presented at the International Conference on Computing, Communication, Cybersecurity & AI, July 10–11, 2025, Birmingham, UK",,,,10.1007/978-3-032-16791-0_38,Ishita NaikDishita NaikNitin Naik,2026,https://link.springer.com/chapter/10.1007/978-3-032-16791-0_38,Conference paper
Towards Secure Retrieval-Augmented Generation: Preventing LLM Data Leaks with&#xa0;RBAC,Intelligent Systems,,,,10.1007/978-3-032-15993-9_34,Igor MartinelliMoacir A. Ponti,2026,https://link.springer.com/chapter/10.1007/978-3-032-15993-9_34,Conference paper
Does Retrieval-Augmented Generation Mitigate Training Data Leakage Risks from&#xa0;Large Language Models?,Computer Security. ESORICS 2025 International Workshops,,,,10.1007/978-3-032-16092-8_26,Tsunato NakaiTakuya HigashiKento Oonishi,2026,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_26,Conference paper
Retrieval-Augmented Generation (RAG),Large Language Model Recipes,,,,10.1007/979-8-8688-2607-8_13,Bharath Kumar BollaKalpa SubbaiahSashi Kiran Kaata,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2607-8_13,Chapter
Retrieval-augmented generation for natural language processing: a survey,Artificial Intelligence Review,,,,10.1007/s10462-026-11605-7,Shangyu WuYing XiongYufei CuiHaolun WuCan ChenYe YuanLianming HuangXue LiuTei-Wei KuoNan GuanChun Jason Xue,2026,https://link.springer.com/article/10.1007/s10462-026-11605-7,Article
Retrieval-Augmented Generation,Transformers and  Large Language Models,,,,10.1007/979-8-8688-2785-3_5,Ahmed Fawzy Gad,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2785-3_5,Chapter
Retrieval-Augmented Generation (RAG),Mastering Large Language Models,,,,10.1007/979-8-8688-2733-4_6,Ajay RawatVardan Pathak,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2733-4_6,Chapter
Securing LLM-based agents against cyberattacks: a comprehensive survey on  attack techniques and defense strategies,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-026-00622-3,Nyashadzashe TamukaTopside Ehleketani MathonsiOlwal Thomas OtienoSolly MaswikanengTonderai MuchenjeTshimangadzo Mavin Tshilongamulenzhe,2026,https://link.springer.com/article/10.1007/s11416-026-00622-3,Article
"Securing Retrieval-Augmented Generation: Prompt Injection, Exfiltration Paths, and Practical Defenses",Innovative Computing and Communications,,,,10.1007/978-3-032-28591-1_50,Aastha SinghSakshi HalwaiAbhishek KumarAbhinavMohd AdnanArpita Singh,2026,https://link.springer.com/chapter/10.1007/978-3-032-28591-1_50,Conference paper
Enhancing pancreatic cancer staging with large language models: the role of retrieval-augmented generation,Radiological Physics and Technology,,,,10.1007/s12194-026-01026-0,Hisashi JohnoYuki JohnoAkitomo AmakawaJunichi SatoRyota TozukaAtsushi KomabaHiroaki WatanabeHiroki WatanabeChihiro GotoHiroyuki MorisakaHiroshi OnishiKazunori Nakamoto,2026,https://link.springer.com/article/10.1007/s12194-026-01026-0,Article
LLM-Assisted Digital Forensic Investigations of&#xa0;Prompt Injection Attacks: Evidence Analysis and&#xa0;Representation,Digital Forensics and Cyber Crime,,,,10.1007/978-3-032-22542-9_21,Maxim ChernyshevZubair BaigNaeem SyedRobin DossMalcolm Shore,2027,https://link.springer.com/chapter/10.1007/978-3-032-22542-9_21,Conference paper
"A Review of Jailbreaking Large Language Models: Methods, Challenges, and Defences",Intelligent Strategies for ICT,,,,10.1007/978-3-032-20612-1_4,Gaurang MishraShikha Maheshwari,2026,https://link.springer.com/chapter/10.1007/978-3-032-20612-1_4,Conference paper
Adversarial Attacks on Large Language Models: A Survey,Information System Design: Big Data Analytics and Data Science,,,,10.1007/978-981-96-9248-4_40,Meera Al KuwaitiHeba Ismail,2026,https://link.springer.com/chapter/10.1007/978-981-96-9248-4_40,Conference paper
Defense Against Prompt Injection Attacks via&#xa0;Intention Emphasis,Computer Supported Cooperative Work and Social Computing,,,,10.1007/978-981-92-0291-1_30,Weilang LiaoLi Li,2027,https://link.springer.com/chapter/10.1007/978-981-92-0291-1_30,Conference paper
Jailbreaking LLMs and Its Security Implications,Jailbreaking LLMs,,,,10.1007/979-8-8688-2958-1_1,Priyanka Neelakrishnan,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2958-1_1,Chapter
Prompt Attacks and&#xa0;Safeguards in&#xa0;Large Language Models: A Survey,PRICAI 2025: Trends in Artificial Intelligence,,,,10.1007/978-981-95-7078-2_29,Kasra MojallalPouria SadrSepideh AhmadianDima Alhadidi,2026,https://link.springer.com/chapter/10.1007/978-981-95-7078-2_29,Conference paper
AI Cybersecurity for Tackling LLM Security,Guide to AI for Cybersecurity,,,,10.1007/978-3-032-25874-8_21,Muthu Ramachandran,2026,https://link.springer.com/chapter/10.1007/978-3-032-25874-8_21,Chapter
Exploitation of Security Vulnerabilities in LLMs,Jailbreaking LLMs,,,,10.1007/979-8-8688-2958-1_5,Priyanka Neelakrishnan,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2958-1_5,Chapter
RAGLeak: Membership Inference Attacks on&#xa0;RAG-Based Large Language Models,Information Security and Privacy,,,,10.1007/978-981-96-9101-2_8,Kaiyue FengGuangsheng ZhangHuan TianHeng XuYanjun ZhangTianqing ZhuMing DingBo Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-9101-2_8,Conference paper
Mitigating Security Risks in Large Language Models: A Full Lifecycle Perspective,Machine Learning,,,,10.1007/s10994-025-06930-x,Yanming WangZhixin BaiJing HuoBoyan WangJiaheng LiuHongye CaoFanyu MengXi YangYang Gao,2026,https://link.springer.com/article/10.1007/s10994-025-06930-x,Article
"Improving negative rejection ability in language models: A review of fine-tuned LLMs, RAG, and RAFT",Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00334-6,Li BowenZhong ZhuoqingZhang HengyuSun XubinBaha Ihnaini,2025,https://link.springer.com/article/10.1007/s44443-025-00334-6,Article
"Survey on LLM Safety: Attacks, Defenses, Alignment, Metrics, and Guardrails",Machine Learning,,,,10.1007/s10994-026-07060-8,Pratik JalanVadivel AbishethvarmanBhavik ChandnaUsman Naseem,2026,https://link.springer.com/article/10.1007/s10994-026-07060-8,Article
A comprehensive survey on cache-augmented retrieval-augmented generation: performance metrics and future directions,The Journal of Supercomputing,,,,10.1007/s11227-026-08604-4,Ayesha KhaliqLubna AzizWedad M. AlawadLaila AlmutairiAmra Al KenanyNaif Almakayeel,2026,https://link.springer.com/article/10.1007/s11227-026-08604-4,Article
"ELISAR: A Multi-Agent cybersecurity framework integrating retrieval-augmented generation for Blue, Red, and GRC operations",World Wide Web,,,,10.1007/s11280-025-01393-5,Sabri AllaniKaram Bou-ChaayaHelmi Rais,2025,https://link.springer.com/article/10.1007/s11280-025-01393-5,Article
"Retrieval-Augmented Generation for&#xa0;Secure Environments: Theoretical Foundations, Agent Architectures, and&#xa0;Local Deployment with&#xa0;FAIRD",HCI International 2025 – Late Breaking Papers,,,,10.1007/978-3-032-12801-0_8,Eric GaidaNicholas GrundNicolas VentulettStefan BöbelArtur GibertMarius SchannéEugen StaabDieter WallachJan Conrad,2026,https://link.springer.com/chapter/10.1007/978-3-032-12801-0_8,Conference paper
Safeguarding large language models: a survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11389-2,Yi DongRonghui MuYanghao ZhangSiqi SunTianle ZhangChangshun WuGaojie JinYi QiJinwei HuJie MengSaddek BensalemXiaowei Huang,2025,https://link.springer.com/article/10.1007/s10462-025-11389-2,Article
LLM agents security duality: a comprehensive survey of self-security and empowered cybersecurity,Artificial Intelligence Review,,,,10.1007/s10462-026-11563-0,Yiwei XuYong ZhuangXuanming LiuTian ZhangBowen XiaoXiaoyang XuDelong JiangJuan WangHongxin Hu,2026,https://link.springer.com/article/10.1007/s10462-026-11563-0,Article
An Integrated Framework for&#xa0;Jailbreak Prevention Using Knowledge Graphs and&#xa0;Large Language Models,Sustainable Computing and Intelligent Systems,,,,10.1007/978-3-032-22917-5_2,Vikrant RameshJ. VishwannthR. AishwaryaAruna GaldysV. Vetriselvi,2026,https://link.springer.com/chapter/10.1007/978-3-032-22917-5_2,Conference paper
Exploring Prompt Injection: Methodologies and&#xa0;Risks with&#xa0;an&#xa0;Interactive Chatbot Demonstration,Information and Communication Technology,,,,10.1007/978-981-96-4288-5_31,The-Anh HoangXuan-Tung NguyenQuynh-Nhu Pham-VoNhat-Hung Dang-Hoang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4288-5_31,Conference paper
Adversarial Attacks on&#xa0;Large Language Model Applications: Prompt Injection and&#xa0;Token Drain Exploitation,Advanced Information Networking and Applications,,,,10.1007/978-3-032-23347-9_2,Hamza SalemAhmad AL GhareebManuel Mazzara,2026,https://link.springer.com/chapter/10.1007/978-3-032-23347-9_2,Conference paper
Evaluating LLM Adaptation Techniques for Cybersecurity Vulnerability Detection: A Comparative Review of Retrieval-Augmented Generation and Fine-Tuning,Emerging Research in Intelligent Systems,,,,10.1007/978-3-032-20729-6_1,Leandro PazmiñoIvonne MaldonadoVanessa Guevara,2026,https://link.springer.com/chapter/10.1007/978-3-032-20729-6_1,Conference paper
"Emerging roles of large language models (LLMs) in smart farming and precision agriculture: security challenges, threat taxonomy, and mitigation strategies",Precision Agriculture,,,,10.1007/s11119-026-10349-2,Sarina DastgerdyAbbas YazdinejadAli Dehghantanh,2026,https://link.springer.com/article/10.1007/s11119-026-10349-2,Article
Large language models for cyberattack defense: a critical survey,Knowledge and Information Systems,,,,10.1007/s10115-026-02736-y,Lamia Chaari FouratiMirna AwadMariem Ben AliWael Jaafar,2026,https://link.springer.com/article/10.1007/s10115-026-02736-y,Article
Evaluating the safety of large language models in healthcare and dentistry: adversarial testing approaches,BDJ Open,,,,10.1038/s41405-026-00462-9,Fahad UmerMuhammad Muthar ShaikhAbsar Ur Rahman,2026,https://link.springer.com/article/10.1038/s41405-026-00462-9,Article
Literal Genie Problem of Generative AI: Understanding Cyberattacks on&#xa0;Generative AI Models in the Context of Large Language Models (LLMs) and&#xa0;Their Defence Strategies,"Contributions Presented at the International Conference on Computing, Communication, Cybersecurity & AI, July 10–11, 2025, Birmingham, UK",,,,10.1007/978-3-032-16791-0_32,Dishita NaikIshita NaikNitin Naik,2026,https://link.springer.com/chapter/10.1007/978-3-032-16791-0_32,Conference paper
Large language models for clinical decision support in gastroenterology and hepatology,Nature Reviews Gastroenterology & Hepatology,,,,10.1038/s41575-025-01108-1,Isabella Catharina WiestMamatha BhatJan ClusmannCarolin V. SchneiderXiaofeng JiangJakob Nikolas Kather,2025,https://link.springer.com/article/10.1038/s41575-025-01108-1,Article
Digital Forensics in the Age of Large Language Models,Artificial Intelligence Driven Forensics,,,,10.1007/978-3-031-98036-7_3,Zhipeng YinZichong WangWeifeng XuJun ZhuangPallab MozumderAntoinette SmithWenbin Zhang,2026,https://link.springer.com/chapter/10.1007/978-3-031-98036-7_3,Chapter
Ethical perspectives on deployment of large language model agents in biomedicine: a survey,AI and Ethics,,,,10.1007/s43681-025-00847-w,Nafiseh Ghaffar NiaAmin AmiriYuan LuoAdrienne Kline,2025,https://link.springer.com/article/10.1007/s43681-025-00847-w,Article
Large language models for building energy applications: Opportunities and challenges,Building Simulation,,,,10.1007/s12273-025-1235-9,Mingzhe LiuLiang ZhangJianli ChenWei-An ChenZhiyao YangL. James LoJin WenZheng O’Neill,2025,https://link.springer.com/article/10.1007/s12273-025-1235-9,Article
