Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Exploiting large language models in peer review: indirect prompt injection attacks and integrity probes,Scientometrics,,,,10.1007/s11192-026-05695-x,Federico TorrielliStefano LocciAmon RappLuigi Di Caro,2026,https://link.springer.com/article/10.1007/s11192-026-05695-x,Article
Indirect prompt injection in large language models,Neural Computing and Applications,,,,10.1007/s00521-026-12266-x,Alfredo MilaniValentina FranzoniEmanuele Florindi,2026,https://link.springer.com/article/10.1007/s00521-026-12266-x,Article
Adversarial Attacks on Large Language Models: The Prompt Injection Approach,"Advancements in IoT, Cyber Security and Cloud Computing",,,,10.1007/978-981-95-4452-3_17,H. SiriV. M. VijayshreeJyoti Shetty,2026,https://link.springer.com/chapter/10.1007/978-981-95-4452-3_17,Conference paper
Adversarial Attacks on&#xa0;Large Language Model Applications: Prompt Injection and&#xa0;Token Drain Exploitation,Advanced Information Networking and Applications,,,,10.1007/978-3-032-23347-9_2,Hamza SalemAhmad AL GhareebManuel Mazzara,2026,https://link.springer.com/chapter/10.1007/978-3-032-23347-9_2,Conference paper
Detection and analysis of prompt injection in indian multilingual large language models,Scientific Reports,,,,10.1038/s41598-026-43883-0,Jagadeesan SrinivasanSilla Ann RegiAnbarasa Kumar AnbarasanSuresh AVetriselvi TSivakumar Venu,2026,https://link.springer.com/article/10.1038/s41598-026-43883-0,Article
Prompt injection attacks on educational large language models for higher and vocational education,Scientific Reports,,,,10.1038/s41598-026-46563-1,Yunfu Cai,2026,https://link.springer.com/article/10.1038/s41598-026-46563-1,Article
Compliance-First RAG with&#xa0;Inference Isolation: Embedding Choice and&#xa0;Prompt-Injection Robustness in&#xa0;a&#xa0;Polish Enterprise Corpus,"Dependable Computer Systems: Methods, Models, and Applications",,,,10.1007/978-3-032-27927-9_23,Miłosz Kucharski,2026,https://link.springer.com/chapter/10.1007/978-3-032-27927-9_23,Conference paper
Prompt Injection in Clinical Artificial Intelligence Systems: The Emerging Security Challenge of Large Language Models and Agentic AI,Annals of Biomedical Engineering,,,,10.1007/s10439-026-04376-3,Ethan WaisbergJoseph W. Guarnieri,2026,https://link.springer.com/article/10.1007/s10439-026-04376-3,Article
Boosting Jailbreak Transferability for&#xa0;Large Language Models,Pattern Recognition and Computer Vision,,,,10.1007/978-981-95-5761-5_31,Jian ZhengHanqing LiuLifeng ZhouHuanqian YanPeilin Liu,2026,https://link.springer.com/chapter/10.1007/978-981-95-5761-5_31,Conference paper
An API-Driven Framework for&#xa0;Detecting and&#xa0;Mitigating Prompt Injection Vulnerabilities in&#xa0;Open-Source Large Language Models (LLMs),Innovative Computing and Communications,,,,10.1007/978-3-032-30909-9_24,Jenifer SajitJaden Samuel JacobGauri Sameer Rapate,2026,https://link.springer.com/chapter/10.1007/978-3-032-30909-9_24,Conference paper
When Generative AI Prompts Bite Back: Investigating Different Types of Prompt Injection Attacks on Large Language Models (LLMs) and Their Prevention Methods,"Contributions Presented at the International Conference on Computing, Communication, Cybersecurity & AI, July 10–11, 2025, Birmingham, UK",,,,10.1007/978-3-032-16791-0_30,Dishita NaikIshita NaikNitin Naik,2026,https://link.springer.com/chapter/10.1007/978-3-032-16791-0_30,Conference paper
