Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract,RIS URL,Abstract Fetch Status,HTTP Status
Exploiting large language models in peer review: indirect prompt injection attacks and integrity probes,Scientometrics,,,,10.1007/s11192-026-05695-x,Federico TorrielliStefano LocciAmon RappLuigi Di Caro,2026,https://link.springer.com/article/10.1007/s11192-026-05695-x,Article,"Large language models are beginning to enter peer review as tools for summarizing manuscripts, drafting evaluations, and reducing reviewer workload. Yet this use creates a security problem specific to evaluative settings: the manuscript being judged can also contain hidden instructions that shape the model’s judgment. We investigate this risk through indirect prompt injection, where hidden text embedded in a manuscript is processed like a benign prompt by a public chatbot during review generation. We introduce an Author-Reviewer-Organizer framework that distinguishes author-side manipulation from organizer-side integrity checks, and use it to evaluate both offensive payloads, which steer reviews toward positive or negative judgments, and integrity-probing payloads, which trigger refusal, watermarking, or external-site redirection. The redirection payload is introduced here as a novel integrity-check mechanism. In experiments on 100 OpenReview papers, two public chatbot systems, five payload families, two custom prompt approaches, three injection positions, and five repeated runs per condition, we generate 42000 model outputs. Hidden instructions are highly effective: positive steering, refusal, and external-site redirection exceed 98% success on both systems; watermarking remains high but less reliable, reaching 94.27% on ChatGPT and 88.17% on Gemini; and negative steering is near-ceiling on ChatGPT but lower on Gemini. Vulnerability varies with payload design, model, and document position. These findings show that current models exhibit “contextual blindness”: they do not reliably separate manuscript content from embedded control text. This weakness threatens the validity of AI-assisted review, while also creating a dual-use channel that organizers may repurpose for detection. Peer-review systems that rely on public LLMs therefore require stronger safeguards between document content and instructions before they can be trusted in evaluative workflows.",https://citation-needed.springer.com/v2/references/10.1007/s11192-026-05695-x?format=refman&flavour=citation,downloaded_abstract_ok,200
Indirect prompt injection in large language models,Neural Computing and Applications,,,,10.1007/s00521-026-12266-x,Alfredo MilaniValentina FranzoniEmanuele Florindi,2026,https://link.springer.com/article/10.1007/s00521-026-12266-x,Article,"This paper addresses the emerging threat of indirect prompt injection, a technique in which malicious agents embed prompts into seemingly innocuous text to manipulate the behaviour and output of Generative Large Language Models (LLMs). As LLMs become more popular and commonly used in everyday activities, this type of attack poses serious concerns about their responses. Without knowledge and protection, processes that depend on them may not be reliable. We present and analyse real-world high-risk cases, most notably in the scenario of a comparative analysis of Curriculum Vitae documents. In this scenario, prompt injection is used to mislead the human resources manager who uses LLMs to support personnel selection. This risk is also becoming increasingly relevant in educational contexts where LLMs are used for activities such as automated essay review, tutoring, and content generation, potentially enabling subtle forms of manipulation and misconduct. The hidden prompt subtly alters the behaviour of the generative model, steering its output away from the intended results of the user’s LLM prompt. We analyze the structure of these attacks, evaluate the vulnerability and resilience of popular LLMs, and suggest potential countermeasures. We conclude by discussing the broader implications, evolving risks, and opportunities for securing LLM-based workflows.",https://citation-needed.springer.com/v2/references/10.1007/s00521-026-12266-x?format=refman&flavour=citation,downloaded_abstract_ok,200
Adversarial Attacks on Large Language Models: The Prompt Injection Approach,"Advancements in IoT, Cyber Security and Cloud Computing",,,,10.1007/978-981-95-4452-3_17,H. SiriV. M. VijayshreeJyoti Shetty,2026,https://link.springer.com/chapter/10.1007/978-981-95-4452-3_17,Conference paper,"Large Language Models (LLMs) have become integral to many applications, yet they remain susceptible to adversarial attacks that can undermine their reliability and safety. This paper explores the various adversarial attack strategies that target LLMs, focusing on methods that exploit these models’ weaknesses through manipulations of input data. This paper examines both black-box and white-box attack approaches, including token manipulation, gradient-based attacks, and prompt injection. This study also provides insights into current defense mechanisms for mitigating these vulnerabilities. The findings reveal significant insights into the impact of adversarial techniques on model performance and safety. By addressing these challenges, our research enhances the understanding of LLM vulnerabilities and contributes to developing more robust and reliable AI systems.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-4452-3_17?format=refman&flavour=citation,downloaded_abstract_ok,200
Adversarial Attacks on&#xa0;Large Language Model Applications: Prompt Injection and&#xa0;Token Drain Exploitation,Advanced Information Networking and Applications,,,,10.1007/978-3-032-23347-9_2,Hamza SalemAhmad AL GhareebManuel Mazzara,2026,https://link.springer.com/chapter/10.1007/978-3-032-23347-9_2,Conference paper,"Large Language Models (LLMs) have become integral components in modern applications, from customer service chatbots to code completion tools. However, their widespread adoption has introduced significant security vulnerabilities. This paper investigates two critical attack vectors against LLM-based applications: prompt injection attacks and token drain attacks via false positive API responses. Prompt injection attacks exploit the model’s instruction-following capabilities to manipulate system behavior, bypass security constraints, and extract sensitive information. Token drain attacks represent a novel form of resource exhaustion where adversaries exploit cross-API interactions by generating false positive responses that trigger excessive token consumption in downstream LLM applications without the application’s knowledge. We analyze the mechanisms, attack vectors, and potential mitigations for both attack classes, providing a comprehensive security assessment based on recent research findings. Our analysis reveals that existing defenses are insufficient, with prompt injection attacks achieving success rates exceeding 84% in agent-based systems, and token drain attacks presenting a significant threat to API-based LLM ecosystems.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-23347-9_2?format=refman&flavour=citation,downloaded_abstract_ok,200
Detection and analysis of prompt injection in indian multilingual large language models,Scientific Reports,,,,10.1038/s41598-026-43883-0,Jagadeesan SrinivasanSilla Ann RegiAnbarasa Kumar AnbarasanSuresh AVetriselvi TSivakumar Venu,2026,https://link.springer.com/article/10.1038/s41598-026-43883-0,Article,"With the use of Large Language Models (LLMs) becoming more significant in many applications, it has become a great need to ask the question how these LLMs can be made safe and robust, and hence make it behave in an ethical way. Among the most seen and evident vulnerabilities or loopholes in LLM are the attacks termed as prompts injections, which is a key vulnerability. Even though this issue is being extensively studied, most of the available and existing literature and defense systems are mostly focussed on English language prompts. As of now, there are no publicly available datasets or any known defense mechanisms that works with the aim of detecting and/or preventing the so-called prompt injection in Indian regional or code-mixed languages associated. The project aims to identify or propose a mechanism to find an answer on exactly how to overcome this significant research gap by assessing the reaction of various LLMs to the injection-style prompts typed in Indian languages particularly Hindi and its code-mixed version, Hinglish. A clean dataset of size 4000 prompts including safe and malicious prompts in Hindi and Hinglish (Hindi-2000 prompts and Hinglish-2000 prompts) is made and a hybrid classifier is proposed that finds to detect injection attempts using their language patterns and other intents or features. Various algorithms including Transformer, Distil Transformer, SVM, XGBoost, Random Forest and Logistic Regression are trained and tested. The integration of a rule-based layer and a transformer model was shown to perform better than all baselines, with 99.70% accuracy and high precision (99.65%), recall (99.75%), and F1-score (99.70%), which demonstrates that its detection is very reliable. The system provides a new direction in ensuring the security of LLM interfaces against prompt-based injection attacks, especially in a diverse and multilingual user population like that in India.",https://citation-needed.springer.com/v2/references/10.1038/s41598-026-43883-0?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt injection attacks on educational large language models for higher and vocational education,Scientific Reports,,,,10.1038/s41598-026-46563-1,Yunfu Cai,2026,https://link.springer.com/article/10.1038/s41598-026-46563-1,Article,"Large Language Models (LLMs) are rapidly being integrated into educational systems for automated grading, intelligent tutoring, question answering, and instructional support. Their effectiveness stems from instruction following through natural-language prompts, yet this design also creates a critical vulnerability: prompt injection. By embedding adversarial instructions into seemingly legitimate student inputs, attackers can override task constraints, manipulate rubric execution, and induce policy violations. This risk is amplified in education due to high-frequency interactions, the presence of sensitive student data, and the high stakes of assessment, guidance, and credentialing in both higher education and vocational training. We study prompt injection in educational LLM pipelines and introduce a structured attack generation framework tailored to learning-oriented prompts. Our method decomposes composite educational prompts into functional segments, constructs role-consistent attack vectors, composes stealthy injections inside pedagogically plausible student responses, and adapts payloads to rubric language and grading conventions. Experiments on four educational benchmarks show that our approach achieves consistently high attack success while maintaining strong stealth. Specifically, we obtain attack success rates of 0.82 on ASAP, 0.79 on SciEntsBank, 0.76 on EduBench, and 0.73 on MMLU-Edu, outperforming competitive baselines by 0.19–0.33 absolute on average, and inducing substantial grade inflation under realistic black-box constraints. These results demonstrate that educational prompts expose structural attack surfaces not captured by generic safety evaluations, motivating security-aware design and testing for educational LLM deployments.",https://citation-needed.springer.com/v2/references/10.1038/s41598-026-46563-1?format=refman&flavour=citation,downloaded_abstract_ok,200
Compliance-First RAG with&#xa0;Inference Isolation: Embedding Choice and&#xa0;Prompt-Injection Robustness in&#xa0;a&#xa0;Polish Enterprise Corpus,"Dependable Computer Systems: Methods, Models, and Applications",,,,10.1007/978-3-032-27927-9_23,Miłosz Kucharski,2026,https://link.springer.com/chapter/10.1007/978-3-032-27927-9_23,Conference paper,"Retrieval-Augmented Generation (RAG) is a practical way to turn internal documents into a question answering assistant, but many deployments still send user queries and retrieved text to external inference endpoints at query time. For sensitive enterprise knowledge bases, this creates an awkward situation: the system may be helpful, yet the data flow is hard to defend and even harder to audit.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-27927-9_23?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt Injection in Clinical Artificial Intelligence Systems: The Emerging Security Challenge of Large Language Models and Agentic AI,Annals of Biomedical Engineering,,,,10.1007/s10439-026-04376-3,Ethan WaisbergJoseph W. Guarnieri,2026,https://link.springer.com/article/10.1007/s10439-026-04376-3,Article,"Clinical discussion of artificial intelligence safety has concentrated on accuracy, bias, and hallucination, each of which describes a model failing at its assigned task. Prompt injection describes the opposite condition: a model performing exactly as instructed, by an instruction the clinician neither wrote nor can see. The vulnerability arises from a fundamental property of current language-model architectures, which receive an undifferentiated stream of tokens and possess no mechanism for distinguishing content that carries authority from content that does not. Medicine is particularly exposed, because the clinical record is assembled from material originating outside the institution, including referral correspondence, patient-entered messages, external reports, scanned documents, and imaging acquired elsewhere. We argue that prompt injection warrants classification as a patient safety hazard with an articulated threat model rather than as a technical curiosity, that improved prompting and input filtering do not address it, and that the workable response lies in provenance-aware context handling, restricted privileges for irreversible actions, and adversarial testing before deployment.",https://citation-needed.springer.com/v2/references/10.1007/s10439-026-04376-3?format=refman&flavour=citation,downloaded_abstract_ok,200
Boosting Jailbreak Transferability for&#xa0;Large Language Models,Pattern Recognition and Computer Vision,,,,10.1007/978-981-95-5761-5_31,Jian ZhengHanqing LiuLifeng ZhouHuanqian YanPeilin Liu,2026,https://link.springer.com/chapter/10.1007/978-981-95-5761-5_31,Conference paper,"Large language models have heightened concerns regarding safety alignment challenges, particularly stemming from jailbreak attacks that circumvent security measures to generate malicious outputs. To address the limitations of existing methods such as GCG, which achieve strong performance on specific models but suffer from efficacy degradation and poor transferability on unseen models, we propose a novel jailbreak method extending GCG. This approach integrates three core components: a scenario induction template, optimized suffix selection, and the re-suffix attack mechanism to minimize output inconsistencies. Extensive experiments across diverse benchmarks demonstrate the superiority of the proposed method, achieving near-perfect success rates (approaching 100%) in both direct attacks and cross-model transferability.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-5761-5_31?format=refman&flavour=citation,downloaded_abstract_ok,200
An API-Driven Framework for&#xa0;Detecting and&#xa0;Mitigating Prompt Injection Vulnerabilities in&#xa0;Open-Source Large Language Models (LLMs),Innovative Computing and Communications,,,,10.1007/978-3-032-30909-9_24,Jenifer SajitJaden Samuel JacobGauri Sameer Rapate,2026,https://link.springer.com/chapter/10.1007/978-3-032-30909-9_24,Conference paper,"Large Language Models (LLMs) are now widely used in many applications, but they remain vulnerable to prompt injection attacks, where malicious inputs can force them to generate unsafe or unintended outputs. This proposed API, presents a professional yet accessible framework for evaluating and mitigating these vulnerabilities in open-source LLMs. By integrating FastAPI with Garak, an open-source red-teaming toolkit, our system automates the testing of locally hosted Hugging Face models, including GPT-2, Falcon-RW, and TinyLlama, all of which are included in a case study. A user-friendly React interface allows researchers and developers to configure attack probes, visualize comparative results, and access mitigation strategies stored in MongoDB. Our framework not only enables single model security analysis but also facilitates a simultaneous multi-model comparative vulnerability analysis, providing an offline capable environment for researchers and developers to access and utilize. This project offers a crucial tool for understanding prompt injection behaviors and provides actionable insights to strengthen LLM deployments against adversarial manipulation.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-30909-9_24?format=refman&flavour=citation,downloaded_abstract_ok,200
